"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"При вводе двух разных адресов под выбором адресов отображается блок с выбором маршрута","13019","Отрисовка блока выбора маршрута при вводе двух разных адресов","tests","Mon Jul 14 00:27:59 CEST 2025","passed","Mon Jul 14 00:28:12 CEST 2025","TestRouteDrawing","test_route_drawing","",""
"Нажимаем кнопку 'Ввести номер и заказать' - появляется окно ожидания машины","17444","Окно ожидания машины после заказа","tests","Mon Jul 14 00:31:41 CEST 2025","passed","Mon Jul 14 00:31:58 CEST 2025","TestTaxiOrder","test_taxi_order","",""
"Дождаться окончания таймера поиска машины - отображается окно совершенного заказа","46873","Окно совершенного заказа после окончания таймера","tests","Mon Jul 14 00:32:22 CEST 2025","passed","Mon Jul 14 00:33:09 CEST 2025","TestTaxiOrder","test_taxi_order","",""
"При выборе вида маршрута 'Свой', типа передвижения 'Драйв' активна кнопка 'Забронировать'","17695","Активность кнопки 'Забронировать' при выборе типа 'Драйв'","tests","Mon Jul 14 00:31:01 CEST 2025","passed","Mon Jul 14 00:31:19 CEST 2025","TestRouteSwitching","test_route_switching","",""
"Нажать кнопку 'Детали' - указана стоимость, которая была при выборе тарифа","46133","Проверка стоимости в деталях заказа","tests","Mon Jul 14 00:33:36 CEST 2025","passed","Mon Jul 14 00:34:22 CEST 2025","TestTaxiOrder","test_taxi_order","",""
"При наведении на иконку i отображается всплывающее окно с описанием тарифа","1","Отображение всплывающих окон с описанием тарифов","tests","Mon Jul 14 00:36:46 CEST 2025","skipped","Mon Jul 14 00:36:46 CEST 2025","TestTaxiTariffs","test_taxi_tariffs","",""
"Под тарифами отображается блок с полями Телефон, Способ оплаты, Комментарий, Требования","15533","Отображение блока с полями под тарифами","tests","Mon Jul 14 00:39:36 CEST 2025","passed","Mon Jul 14 00:39:51 CEST 2025","TestTaxiTariffs","test_taxi_tariffs","",""
"При выборе вида маршрута 'Быстрый' активна кнопка 'Вызвать такси'","13257","Активность кнопки 'Вызвать такси' в режиме 'Быстрый'","tests","Mon Jul 14 00:30:24 CEST 2025","passed","Mon Jul 14 00:30:37 CEST 2025","TestRouteSwitching","test_route_switching","",""
"Проверяем все режимы: Оптимальный, Быстрый, Свой с различными опциями","22235","Проверка переключения между всеми режимами маршрута","tests","Mon Jul 14 00:26:39 CEST 2025","passed","Mon Jul 14 00:27:01 CEST 2025","TestFullTaxiOrderFlow","test_full_taxi_order_flow","",""
"При вводе двух разных предустановленных адресов на карте отображаются две точки","13449","Отрисовка маршрута при вводе двух разных адресов","tests","Mon Jul 14 00:27:21 CEST 2025","passed","Mon Jul 14 00:27:34 CEST 2025","TestRouteDrawing","test_route_drawing","",""
"Открывается форма заказа со всеми 6 тарифами по ТЗ, один из них активный","11536","Отображение формы заказа со всеми 6 тарифами","tests","Mon Jul 14 00:35:33 CEST 2025","passed","Mon Jul 14 00:35:44 CEST 2025","TestTaxiTariffs","test_taxi_tariffs","",""
"При наведении на иконку i отображается всплывающее окно с описанием тарифа","15517","Отображение всплывающих окон с описанием тарифов","tests","Mon Jul 14 00:37:12 CEST 2025","passed","Mon Jul 14 00:37:28 CEST 2025","TestTaxiTariffs","test_taxi_tariffs","",""
"При вводе одинакового адреса отображается блок с текстом 'Авто Бесплатно В пути 0 мин.'","6278","Отрисовка блока выбора маршрута при вводе одинакового адреса","tests","Mon Jul 14 00:28:36 CEST 2025","passed","Mon Jul 14 00:28:42 CEST 2025","TestRouteDrawing","test_route_drawing","",""
"При переключении между Оптимальный/Быстрый происходит пересчет времени и стоимости","17207","Переключение между видами маршрута с пересчетом времени и стоимости","tests","Mon Jul 14 00:29:06 CEST 2025","passed","Mon Jul 14 00:29:23 CEST 2025","TestRouteSwitching","test_route_switching","",""
"Проверка полного флоу: ввод адресов → выбор режима → выбор тарифа → заказ → ожидание → завершение","46842","Полный сценарий заказа такси от начала до конца","tests","Mon Jul 14 00:24:46 CEST 2025","passed","Mon Jul 14 00:25:33 CEST 2025","TestFullTaxiOrderFlow","test_full_taxi_order_flow","",""
"При переключении на вид маршрута 'Свой' становятся активны типы передвижения","13087","Переключение на режим 'Свой' активирует типы передвижения","tests","Mon Jul 14 00:29:47 CEST 2025","passed","Mon Jul 14 00:30:00 CEST 2025","TestRouteSwitching","test_route_switching","",""
"При наведении на иконку i отображается всплывающее окно с описанием тарифа","16792","Отображение всплывающих окон с описанием тарифов","tests","Mon Jul 14 00:38:56 CEST 2025","passed","Mon Jul 14 00:39:13 CEST 2025","TestTaxiTariffs","test_taxi_tariffs","",""
"Проверяем все 6 тарифов на правильность названий и описаний","19361","Проверка всех тарифов на соответствие ТЗ","tests","Mon Jul 14 00:25:55 CEST 2025","passed","Mon Jul 14 00:26:15 CEST 2025","TestFullTaxiOrderFlow","test_full_taxi_order_flow","",""
